Artist,Song,Lyrics,Charting Number,Genre
Ray J,Sexy Can I,Sexy can I Yeah Yeah All we wanna know is  Sexy can I just pardon my manners Girl how you shake it got a nigga like oh Its a Kodak moment let me go and get my camera All I wanna know is sexy can I Sexy can I hit it from the front then I hit it from the back know you like it like that then we take it to the bed then we take it to the floor then we chill for a second then were back at it for more Sexy can I just pardon my manners Girl how you shake it got a nigga like oh Its a Kodak moment let me go and get my camera All I wanna know is sexy can I  Whats up Lil mama its ya boy Youngin G5 dippin Lui Vuitton luggage ay Gotta love it ya boy so fly All the ladies go oh when a nigga go by Gucci on the feet Marc Jacob on the thigh She wanna ride or die with ya boy in the chi Thats right so I let her kiss the prince Her boyfriend she aint missed him since  Sexy can I just pardon my manners Girl how you shake it got a nigga like oh Its a Kodak moment let me go and get my camera All I wanna know is sexy can I Sexy can I keep it on the low Got a girl at the crib we can take it to the momo You can bring a friend or you can ride solo Let me get my camera so we can take a photo Ohohoh Now look shawty look shawty Baby when we make love its like Ohohoh I dont know what your man is like but shawty all I want to know is sexy can I  Sexy can I visit you at work  When you sliding down the pole no panties no shirt Then you climb back up the pole then you drop and do the splits How you make that pussy talk Baby damn you is the shit Ohohoh Now look shawty look shawty I make it rain in the club like Ohohoh I dont know what your man is like but baby all I want to know is Sexy can I  Sexy can I just pardon my manners Girl how you shake it got a nigga like oh Its a Kodak moment let me go and get my camera All I wanna know is sexy can I  I dont care whos ya boy hittin or who Rays melon When I give it to her I know that she aint tellin See Im a go get and she a go get You already know she Sexy can I Sexy can I send for you redeye Fresh out the pool no towel just let it air dry And if you aint fuckin tonight Man you can watch that tour bus go by  Chorus,11,Pop
Rihanna,Take A Bow,Oh how about a round of applause yeah Standing ovation Oh yeah Yeah yeah yeah yeah  You look so dumb right now Standing outside my house Trying to apologize Youre so ugly when you cry Please just cut it out  Dont tell me youre sorry cause youre not Baby when I know youre only sorry you got caught  But you put on quite a show Really had me going But now its time to go Curtains finally closing That was quite a show Very entertaining But its over now but its over now Go on and take a bow  Grab your clothes and get gone get gone You better hurry up Before the sprinklers come on come on Talking bout Girl I love you youre the one This just looks like a rerun Please what else is on on  Dont tell me youre sorry cause youre not Baby when I know youre only sorry you got caught  But you put on quite a show Really had me going But now its time to go Curtains finally closing That was quite a show Very entertaining But its over now but its over now Go on and take a bow  Oh and the award For the Best Liar goes to you goes to you For making me believe That you could be Faithful to me Lets hear your speech  How about a round of applause A standing ovation  But you put on quite a show Really had me going Now its time to go Curtains finally closing That was quite a show Very entertaining But its over now but its over now Go on and take a bow But its over now,12,R&B
Coldplay,Viva La Vida,I used to rule the world Seas would rise when I gave the word Now in the morning I sleep alone Sweep the streets I used to own  I used to roll the dice Feel the fear in my enemys eyes Listened as the crowd would sing Now the old king is dead Long live the king One minute I held the key Next the walls were closed on me And I discovered that my castles stand Upon pillars of salt and pillars of sand  I hear Jerusalem bells aringing Roman cavalry choirs are singing Be my mirror my sword and shield My missionaries in a foreign field For some reason I cant explain Once youd gone there was never Never an honest word And that was when I ruled the world  It was a wicked and wild wind Blew down the doors to let me in Shattered windows and the sound of drums People couldnt believe what Id become Revolutionaries wait For my head on a silver plate Just a puppet on a lonely string Oh who would ever want to be king  I hear Jerusalem bells aringing Roman cavalry choirs are singing Be my mirror my sword and shield My missionaries in a foreign field For some reason I cant explain I know St Peter wont call my name Never an honest word But that was when I ruled the world  Oh oh oh oh oh oh 5x  Hear Jerusalem bells aringing Roman cavalry choirs are singing Be my mirror my sword and shield My missionaries in a foreign field For some reason I cant explain I know St Peter wont call my name Never an honest word But that was when I ruled the world,13,Rock
Katy Perry,I Kissed A Girl,This was never the way I planned not my intention I got so brave drink in hand lost my discretion Its not what Im used to just wanna try you on Im curious for you caught my attention  I kissed a girl and I liked it the taste of her cherry chapstick I kissed a girl just to try it I hope my boyfriend dont mind it It felt so wrong it felt so right Dont mean Im in love tonight I kissed a girl and I liked it I liked it  No I dont even know your name it doesnt matter Youre my experimental game just human nature Its not what good girls do not how they should behave My head gets so confused hard to obey  Chorus  Us girls we are so magical Soft skin red lips so kissable Hard to resist so touchable Too good to deny it Aint no big deal its innocent  Chorus,14,Pop
T.I.,Whatever You Like,Aye Jill you know the old sugar daddies They be tricking they tell them girls I said you can have whatever you like I said you can have whatever you like  Stacks on deck Patron on ice And we can pop bottles all night Baby you can have whatever you like I said you can have whatever you like  Late night sex so wet and so tight I gas up the jet for you tonight And baby you can go wherever you like I said you can go wherever you like  Anytime you want to pick up the telephone you Know it aint nothing to drop a couple stacks on you Want it you can get it my dear Five million dollar home drop Bentleys I swear  I want your body need your body Long as you got me you wont need nobody You want it I got it go get it Ill buy it Tell them other broke nigga be quiet  Stacks on deck Patron on ice And we can pop bottles all night And baby you can have whatever you like I said you can have whatever you like  Late night sex so wet and so tight I gas up the jet for you tonight And baby you can go wherever you like I said you can go wherever you like  Shawty you the hottest love the way you drop it Brain so good couldve sworn you went to college Hundred K deposit vacations in the tropics Everybody know it aint tricking if you got it  And you aint never ever gotta go in your wallet Long as I got rubberband banks in my pocket Five six rides with rims and a body kit You aint gotta downgrade you can get what I get  My chick can have what she want And go in any store buy any bag she want I know you aint ever had a man like that To buy you anything your heart desire like that  I want your body need your body Long as you got me you wont need nobody You want it I got it go get it Ill buy it Tell them other broke nigga be quiet  Stacks on deck Patron on ice And we can pop bottles all night And baby you can have whatever you like I said you can have whatever you like  Late night sex so wet and so tight I gas up the jet for you tonight And baby you can go wherever you like I said you can go wherever you like  Im talking big boy rides and big boy ice Let me put this big boy in your life That thing get so wet and hit so right Let me put this big boy in your life thats right  I want your body need your body Long as you got me you wont need nobody You want it I got it go get it Ill buy it Tell them other broke nigga be quiet  Stacks on deck Patron on ice And we can pop bottles all night And baby you can have whatever you like I said you can have whatever you like Late night sex so wet and so tight I gas up the jet for you tonight And baby you can go wherever you like I said you can go wherever you like  Hey Jill,15,Rap
Rihanna,Disturbia,Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum  Whats wrong with me Why do I feel like this Im going crazy now  No more gas in the rig Cant even get it started Nothing heard nothing said Cant even speak about it Out my life out my head Dont wanna think about it Feels like Im going insane Yeah  Its a thief in the night To come and grab you It can creep up inside you And consume you A disease of the mind It can control you Its too close for comfort  Throw on your brake lights Were in the city of wonder Aint gonna play nice Watch out you might just go under Better think twice Your train of thought will be altered So if you must falter be wise  Your mind is in disturbia Its like the darkness is the light Disturbia Am I scaring you tonight Disturbia Aint used to what you like Disturbia Disturbia  Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum  Faded pictures on the wall Its like they talkin to me Disconnecting all the calls Your phone dont even ring I gotta get out Or figure this shit out Its too close for comfort oh  Its a thief in the night To come and grab you It can creep up inside you And consume you A disease of the mind It can control you I feel like a monster  Throw on your brake lights Were in the city of wonder City of lights Aint gonna play nice oh Watch out you might just go under Better think twice think twice Your train of thought will be altered So if you must falter be wise be wise  Your mind is in disturbia Its like the darkness is the light Disturbia Am I scaring you tonight Disturbia Aint used to what you like what you like Disturbia Disturbia  Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum  Release me from this curse Im in Trying to maintain But Im struggling If you cant go go go I think Im gonna oh oh oh  Throw on your brake lights Were in the city of wonder Aint gonna play nice Watch out you might just go under Better think twice better think twice Your train of thought will be altered So if you must falter be wise if you must falter be wise  Your mind is in disturbia Its like the darkness is the light Disturbia Am I scaring you tonight Disturbia Aint used to what you like disturbia Disturbia Disturbia  Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum,16,R&B
Rihanna,Don't Stop The Music,Please dont stop the music Please dont stop the music Please dont stop the music Please dont stop the music  Its getting late Im making my way over to my favourite place I gotta get my body moving Shake the stress away I wasnt looking for nobody when you looked my way Possible candidate yeah Who knew That youd be up in here looking like you do Youre making staying over here impossible Baby I must say your aura is incredible If you dont have to go dont  Do you know what you started I just came here to party But now were rocking on the dance floor actin naughty Your hands around my waist Just let the music play Were hand in hand chest to chest and now were face to face  I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the music I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the Please dont stop the music  Baby are you ready cause its getting close Dont you feel the passion ready to explode What goes on between us noone has to know This is a private show oh  Do you know what you started I just came here to party But now were rocking on the dance floor actin naughty Your hands around my waist Just let the music play Were hand in hand chest to chest and now were face to face  I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the music I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the Please dont stop the music  Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Please dont stop the music Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Please dont stop the music Please dont stop the music  I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the music I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the Please dont stop the music  Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Please dont stop the music Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Please dont stop the music  Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Please dont stop the music,17,R&B
Natasha Bedingfield,Pocketful Of Sunshine,I got a pocket Got a pocketful of sunshine Ive got a love and I know that its all mine Oh oh oh Do what you want But youre never gonna break me Sticks and stones are never gonna shake me Oh oh oh  Take me away take me away A secret place a secret place A sweet escape a sweet escape Take me away take me away Take me away take me away To better days to better days Take me away take me away A hiding place a hiding place  I got a pocket Got a pocketful of sunshine Ive got a love and I know that its all mine Oh oh oh Do what you want But youre never gonna break me Sticks and stones are never gonna shake me Oh oh oh  I got pocket Got a pocketful of sunshine Ive got a love and I know that its all mine Oh oh oh  Wish that you could But you aint gonna own me Do anything you can to control me Oh oh oh  Take me away take me away A secret place a secret place A sweet escape a sweet escape Take me away take me away Take me away take me away To better days to better days Take me away take me away A hiding place a hiding place  Theres a place that I go That nobody knows Where the rivers flow And I call it home And theres no more lies And the darkness is light And nobody cries Theres only butterflies  Take me away take me away A secret place a secret place A sweet escape a sweet escape Take me away take me away Take me away take me away To better days to better days Take me away take me away A hiding place a hiding place 3x  I got a pocket Got a pocketful of sunshine Ive got a love and I know that its all mine Oh oh oh 2x  The sun is on my side Take me for a ride I smile up to the sky I know Ill be alright 2x,18,R&B
Chris Brown,Kiss Kiss,Talking TPain Yo This Is Nappy Boy Radio Live With Ya Boy TPain We Love Rap Music Listen Uh We Got A Caller On Line One Caller Whats Your Problem Hello Im On The Radio With TPain Hows It Going Yea It Aint Going Good My Girl Aint Doing Her Things She Used To Do And Oh I Got Just What You Need Brand New Chris Brown TPain You Heard It Hear First Nappy Boy Radio We Love You  Chorus x2 Hey She Want That Lovey Dovey Lovey Dovey That Kiss Kiss Kiss Kiss In Her Mind She Fantasize Bout Getting With Me They Hating On Me Hating On Me They Wanna Diss Diss Kiss Kiss Because She Mine And So Fine And Thick As Can Be Im A Country Boy From Tappahannock Aaooo VA Is Where I Reside So Shawty Understand It Aaooo And I Know I Just Turned 18 And I Get A Little Manish Aaooo And You See This Bandana Hanging That Means Im Like A Bandit LikeLike A BanditBandit Aawwww Ruff I Got Paper Girl Ruff The Lamborghini Ruff With The Spider Seats Ruff You Neva Seen It Aaooo So Get It Shawty We parking lot pimpin in my dome And I Know What You Want  Chorus x2 Im The Epitome Of This Demonstration I Got The Remedy You Feeling Me So Why Is You Hating At My Anatomy Its Bird Like Yeah You Heard Right Girl Im The King So That Means Im Fly Awwwwwwwwwwwww ruff If You With It Girl ruff Get It Poppin ruff Roll With Me ruff Aint No Stopping ooooooooo So Get It Shawty We Parking Lot Pimping In My Dome yeah I Know Want You Want  Chorus x2  Verse 3 TPain Shawty Let Me Holla At You You So HotHotHotHot You Think Id Be Holling If You NotNotNotNot Im King Of The Town You Can Take A Look Around Teddy Penderazzdown Is In The SpotSpotSpotSpot Yeah I Got Money On Me Yeah Got a kid no problem Yeah You rollin shawty Yeah Lets hit mcdonalds Its TP And CB Im The Nappy BoyOoh Weee  Chorus x2  TPain Chris Brown Yeaaaaaaah  Talking TPain We are live back on Nappy Boy Radio This is your boy Dj Tpain yeaaaaaah I gotta get outta here man I just wanna leave told ya it was gonna look like this But if u aint got it by now then u jus aint gettin it  Talking Chris Brown Lets go Nappy Boy ey and Pretty Boy ey x2 Nappy boy and pretty boy Nappynappy nappy and pretty boy,19,Pop
Ne-Yo,Closer,Closer x4  Woo  Turn the lights off in this place And she shines just like a star And I swear I know her face I just dont know who you are  Turn the music up in here I still hear her loud and clear Like shes right there in my ear Telling me that she wants to  Own me To control me Come closer come closer Come closer  And I just cant pull myself away Under a spell I cant break I just cant stop I just cant stop I just cant stop I just cant stop  And I just cant free myself no way But I dont want to escape I just cant stop I just cant stop I just cant stop I just cant stop  I just cant stop  I can feel her on my skin I can taste her on my tongue Shes the sweetest taste of sin The more I get the more I want  She wants to own me Come closer closer She says Come closer  Hey  And I just cant pull myself away Under a spell I cant break I just cant stop I just cant stop I just cant stop I just cant stop  And I just cant free myself no way But I dont want to escape I just cant stop I just cant stop I just cant stop I just cant stop  I just cant stop  Come closer closer x3 Come closer  Ooo I just cant stop noo I just cant stop noo Just cant stop it no no I just cant stop noo Just cant stop it no no no I just cant stop noo No no  And I just cant pull myself away Under a spell I cant break I just cant stop I just cant stop I just cant stop I just cant stop  And I just cant free myself no way But I dont want to escape I just cant stop I just cant stop I just cant stop I just cant stop  I just cant stop  And I just cant pull myself away Under a spell I cant break I just cant stop I just cant stop I just cant stop I just cant stop  I just cant stop  Come closer,20,Pop
