Artist,Song,Lyrics,Charting Number,Genre
Fergie, Clumsy,Girl You know you been on ma mind yeah Its like I cant stop thinking about you Whenever Im around you I get clumsy thats right But what about now REMIX  Fergie Ferg Soulja Boy Collipark Yeah Yeah Yeah Lets go  Verse 1 Fergie First time That I saw your eyes Boy you looked right through me mmmhmm Play it cool But I knew you knew That cupid hit me mmm mmm You got me tripping stumbling flipping fumbling Clumsy cause Im falling in love You got me slipping tumbling sinking fumbling Clumsy cause Im falling in love So in love with you  Oh Babe Oh Babe Oh Babe Cant breath When you touch my sleeve Butterflies so crazy mmm mmm Whoa now think Im going down Friends dont know whats with me mmm mmm You got me tripping stumbling flipping fumbling Clumsy cause Im falling in love You got me slipping tumbling sinking fumbling Clumsy cause Im falling in love So in love with you King of the south keep it supa fresh Still iced out girls be screaming Hatas wanna do me Im in da chevy the same color as dookie Still be da same man still got game plan Soulja boy tellem yall still know the name man Its like Youll Youll Im up in dis ooooooo Dis a b money game we up in dis ooooooooooohhhh Im a trend setta stunna shade like woah Rubbabands on ma neck got dem lookin like gold I got it on lock erbody should know Im crankin ma field with da brand knew clothes Girls be lookin like da da da da daaaa da But we still on da phine like da da da da daaaa da You got me tripping stumbling flipping fumbling Clumsy cause Im falling in love You got me slipping tumbling sinking fumbling Clumsy cause Im falling in love So in love with you,26,R&B
Jason Mraz,I'm Yours,Well you done done me and you bet I felt it I tried to be chill but youre so hot that I melted I fell right through the cracks Now Im trying to get back  Before the cool done run out Ill be giving it my bestest And nothings gonna stop me but divine intervention I reckon its again my turn To win some or learn some  But I wont hesitate No more no more It cannot wait Im yours  Well open up your mind and see like me Open up your plans and damn youre free Look into your heart and youll find love love love love Listen to the music of the moment people dance and sing were just one big family And its our Godforsaken right to be loved loved loved loved loved  So I wont hesitate No more no more It cannot wait Im sure Theres no need to complicate Our time is short This is our fate Im yours  Do you want to come on scooch on over closer dear And I will nibble your ear  Ive been spending way too long checking my tongue in the mirror And bending over backwards just to try to see it clearer But my breath fogged up the glass And so I drew a new face and I laughed  I guess what Ill be saying is there aint no better reason To rid yourself of vanities and just go with the seasons Its what we aim to do Our name is our virtue  But I wont hesitate No more no more It cannot wait Im yours  Well open up your mind and see like me Open up your plans and damn youre free Look into your heart and youll find that the sky is yours So please dont please dont please dont Theres no need to complicate Cause our time is short This oh this oh this is our fate Im yours  Oh Im yours Oh Im yours Oh oh Baby do you believe Im yours You best believe you best believe Im yours Live On Earth Single Video version doesnt have this ending contrary to the album version,27,Pop
Jesse McCartney,Leavin',Hey baby girl Ive been watching you all day Man that thing you got behind you is amazing You make me wanna take you out and let it rain I know you got a man but this is what you should say  Why dont you tell him that Im leavin never looking back again You found somebody who does it better than he can No more making you cry No more them gray skies Girl were flying on a G5 G5 And were leavin never looking back again So call your shawty and tell him you found a new man The one whos so so fly The one to keep you high Have you singing all night like that  Man she gon be singing She gon be singing  Now if I talk it girl you know that I will walk it out Man Ill put my money money where my mouth is Cause youre the baddest little thing that Ive ever seen So Im gonna ask you one time if you got a man  Why dont you tell him that Im leavin never looking back again You found somebody who does it better than he can No more making you cry No more them gray skies Girl were flying on a G5 G5 And were leavin never looking back again So call your shawty and tell him you found a new man The one whos so so fly The one to keep you high Have you singing all night like that  Man she gon be singing She gon be singing She gon be singing She gon be singing You gon be singing  Dont stress dont stress dont stress Just tell him to the left left left Dont stress dont stress dont stress Cause we gone and we gone and we gone  No stress no stress no stress Girl you deserve nothing but the best No stress no stress no stress Girl you need to tell him  That Im leavin never looking back again You found somebody who does it better than he can No more making you cry No more them gray skies Girl were flying on a G5 G5 And were leavin never looking back again So call your shawty and tell him you found a new man The one whos so so fly The one to keep you high Have you singing all night like that  Man she gon be singing She gon be singing all night like that Man she gon be singing She gon be singing She gon be singing She gon be singing Girl you gon be singing,28,Pop
Kardinal Offishall,Dangerous,Intro Akon Kardinal Offishall Never heard none like this before This remix is Dangerous This remix is Dangerous This remix is Bad girl Never heard none like this Its so Dangerous This remix is Dangerous This remix is Bad girl Refix the remix   Verse 1 Kardinal Offishall Dangerous Thats her song Hips like Beyonce looks like Solange Body like Serena fit like Venus Everyone I know Im tryin to give them the AY AY Bad like she bad with money like Oprah She wine to the reggae bubble to soca Cool like Taraji sweet like Nicole Scherzinger like Sharwhen she comin from the cold Tall like Keri and sing like Estelle Legs like Amerie and she dont tell When she kiss a down ass chick like Lil Kim She ready for the camera Kim Kardashian Curves like Melissa tough like Michelle OBAMA All day the queen like Mary J Good like Keyshia young like Ri Ri Sayin aint that Kardinal on the TV you see me Remix Kardinal Akon Sean Paul Take our ting right straight to di wall Dig it out tun it out now everybody shout one two  Chorus Akon That girl is so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Ive seen her type before Shes so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Yeahh  Verse 2 Akon See your the type of girl that make me wait Im the type of guy that make you relocate Participatin in no chase Got all type of girls Im gon be straight Honeys like you come a dime a dozen Real financially should be my cousin Hips sprung think I am when I wasnt And you wanna cling cling on me then be your husband A baby daddy a sugar daddy I dont give a damn either way Im a have it The way I be shootin that gun automatic Got chicks from every part of the world goin at it Like they dont ask it but its so classic How the club be gettin broken down in masses By the same chicks with these big ol asses Just droppin and shakin it fast Its so dangerous its so dangerous shes so dangerous  Chorus Akon Sean Paul Watch out Ive seen her type before That girl is so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Ive seen her type before Shes so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Yeahh SeanAPaul Akon Kardinal weh we tell dem  Verse 3 Sean Paul Kardinal Offishall Inna mi ride mi a di king wid di crown just cruisin along Hot girls dem deh pon di street Whole heap Gal a mash up man brain and a mash up man mind Dem a girls mek mi feel complete Some a park or step to di club all a tinkin a car dem a stand up and a pree This woman deh a eyes up di Dutty and a gwaan like she waan come gimme di heat All few a dem pack up and now mi waan it Har man just stand up and guardin on it Shes dangerous so dont tek fah granted Har appetite for sex she waan mi plant it Blatantly she waan fi flaunt it Showin mi how much she waan mi on it Waan mi con it she waan mi stamp it Wid di lethal weapon dat she waan mi slam it Mi wink and mi read fi palm it She wink back and she waan mi bomb it Excitement she waan mi carve it HOLD UP SEAN YO YO YO YO  Chorus Akon Watch out Ive seen her type before That girl is so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Ive seen her type before Shes so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Yeahh  Verse 4 Twista How she full with adrenaline feelin all sowed up Fillin em filled with venom kill em like a cobra Thinkin Im in danger when I tell her come over Like a scary endeavor whenever I hold her Speakin in tongues just speedin my lyrical pace Look at the fanny now look at the body now take a look at the face Dangerous as Angelina Jolieand more than a man eater Manipulatin any man if she want him Cause a we be spectacular mackin in back in the truck in the Acura But she need to act up and let out the boys in us Havin a premonition then Im reminiscin About a girl with New Edition already says shes poisonous Like Paris Hilton Nicole or Lindsay Lo Madonna Naomi or Giselle the blanco OHHHH My life will never let a bomb chick abuse it Its Kardinal Twista Konvict music  Outro Kardinal Offishall Just gotta remember shes dangerous shes dangerous shes dangerous Cause shes a bad bad girl Shes dangerous shes dangerous shes dangerous Cause shes a bad bad girl,29,Rap
Jordin Sparks,Tattoo,Oh oh oh  No matter what you say about love I keep coming back for more Keep my hand in the fire Sooner or later Ill get what Im asking for  No matter what you say about life I learn every time I bleed That truth is a stranger Soul is in danger I gotta let my spirit be free  To admit that Im wrong And then change my mind Sorry but I have to move on And leave you behind I cant waste time so give it a moment I realize nothings broken No need to worry bout everything Ive done Live every second like it was my last one Dont look back got a new direction I loved you once needed protection Youre still a part of everything I do Youre on my heart just like a tattoo  Just like a tattoo Ill always have you Ill always have you Ill always have you  Im sick of playing all of these games Its not about taking sides When I looked in the mirror didnt deliver It hurt enough to think that I could  Stop admit that Im wrong And then change my mind Sorry but I gotta be strong And leave you behind I cant waste time so give it a moment I realize nothings broken No need to worry bout everything Ive done Live every second like it was my last one Dont look back got a new direction I loved you once needed protection Youre still a part of everything I do Youre on my heart just like a tattoo  Just like a tattoo Ill always have you Ill always have you  If I live every moment Wont change any moment Still a part of me in you I will never regret you Still the memory of you Marks everything I do  Chorus x2  Just like a tattoo Ill always have you,30,Pop
Miley Cyrus,See You Again,I got my sight set on you and Im ready to aim I have a heart that will never be tamed I knew you were something special when you spoke my name Now I cant wait to see you again  Ive got a way of knowing when something is right I feel like I must have known you in another life Cause I felt this deep connection when you looked in my eyes Now I cant wait to see you again  The last time I freaked out I just kept looking down I stuttered when you asked me what Im thinking about Felt like I couldnt breathe You asked whats wrong with me My best friend Leslie said Oh shes just being Miley The next time we hang out I will redeem myself My heart it cant rest til then I I cant wait to see you again  I got this crazy feeling deep inside When you called and asked to see me tomorrow night Im not a mind reader but Im reading the signs That you cant wait to see me again  The last time I freaked out I just kept looking down I stuttered when you asked me what Im thinking about Felt like I couldnt breathe You asked whats wrong with me My best friend Leslie said Oh shes just being Miley The next time we hang out I will redeem myself My heart it cant rest til then I I cant wait to see you again  I got my sight set on you and Im ready to aim  The last time I freaked out I just kept looking down I stuttered when you asked me what Im thinking about Felt like I couldnt breathe You asked whats wrong with me My best friend Leslie said Oh shes just being Miley The next time we hang out I will redeem myself My heart it cant rest til then I I cant wait to see you again  I I cant wait to see you again,31,Pop
Metro Station,Shake It,Lets drop Yeah come on Shake shake  Ill take you home If you dont leave me at the front door Leave me at the front door Your bodys cold But girl were getting so warm And I was thinking of ways that I could get inside Get inside  Tonight youre falling in love Let me go now This feelings tearing me up Here we go now  Now if she does it like this Will you do it like that Now if she touches like this Will you touch her right back Now if she moves like this Will you move it like that Come on Shake shake shake shake shake it Shake shake shake shake shake it Shake shake shake shake shake it Shake shake shake shake shake it Shake shake shake shake shake it  Your lips tremble But your eyes are in a straight stare In a straight stare Were on the bed But your clothes are laying right there And I was thinking of places that I could hide I could hide  Prechorus  Chorus  I saw you dancing there I couldnt get you off my mind But I could tell that you could tell That I was taking my time  But I was thinking of ways To get you staying the night Your bodys shaking Turn me on so I can turn off the lights  Chorus  Shake shake shake shake shake it Shake shake shake shake shake it Shake shake shake shake shake it Shake shake shake shake shake it,32,Rock
OneRepublic,Stop And Stare,This town is colder now I think its sick of us Its time to make our move Im shaking off the rust Ive got my heart set on anywhere but here Im staring down myself counting up the years  Steady hands just take the wheel And every glance is killing me Time to make one last appeal For the life I lead  Stop and stare I think Im moving but I go nowhere Yeah I know that everyone gets scared But Ive become what I cant be oh Stop and stare You start to wonder why youre here not there And youd give anything to get whats fair But fair aint what you really need Oh can you see what I see  Theyre trying to come back all my senses push Untie the weight bags I never thought I could  Steady feet dont fail me now Imma run til you cant walk Something pulls my focus out And Im standing down  Stop and stare I think Im moving but I go nowhere Yeah I know that everyone gets scared But Ive become what I cant be oh Stop and stare You start to wonder why youre here not there And youd give anything to get whats fair But fair aint what you really need Oh you dont need  What you need what you need  Stop and stare I think Im moving but I go nowhere Yeah I know that everyone gets scared But Ive become what I cant be Oh do you see what I see,33,Rock
Sean Kingston,Take You There,YO WAT A GWAAN HO SEAN KINGSTON JR  We can go to the tropics Sip pina coladas Shorty I could take you there Or we can go to the slums Where killers get hung Shorty I could take you there You know I could take you I could take you I could take you I could take you Shorty I could take you there You know I could take you I could take you I could take you I could take you Shorty I could take you there  Baby girl I know its rough but come with me We can take a trip to the hood Its no problem girl its my city I could take you there Little kid with guns only 15 Roam in the streets up to no good When gun shots just watch us run quickly I could show you where  As long as youre with me Baby youll be alright Im known in the ghetto Girl just stay by my side Or we can leave the slums go to paradise Baby its up to you Its whatever you like  Chorus  Shorty come with me its no worry I know the bad men them where they ah stay Police fly pursuit in a hurry This is no gun play Dont be scared in a deh West Indies Its Jamaica thats where Im from Might see something that youre not used to Welcome to the slums  As long as youre with me Baby youll be alright Im known in the ghetto Girl just stay by my side Or we can leave the slums go to paradise Baby its up to you Its whatever you like  Chorus  Oh we oh we Can go can go To a place to a place I know youre gonna like oh oh oh The beach the beach The breeze the breeze West Indies I call it paradise  Chorus,34,Pop
M.I.A.,Paper Planes,I fly like paper get high like planes If you catch me at the border I got visas in my name If you come around here I make em all day I get one done in a second if you wait  I fly like paper get high like planes If you catch me at the border I got visas in my name If you come around here I make em all day I get one done in a second if you wait  Sometimes I think sitting on trains Every stop I get to Im clocking that game Everyones a winner were making our fame Bona fide hustler making my name  Sometimes I think sitting on trains Every stop I get to Im clocking that game Everyones a winner were making our fame Bona fide hustler making my name  All I wanna do is And a And take your money  All I wanna do is And a And take your money  All I wanna do is And a And take your money  All I wanna do is And a And take your money  Pirate skulls and bones Sticks and stones and weed and bongs Running when we hit em Lethal poison for the system  Pirate skulls and bones Sticks and stones and weed and bombs Running when we hit em Lethal poison for the system  No one on the corner has swagger like us Hit me on my burner prepaid wireless We pack and deliver like UPS trucks Already going hell just pumping that gas  No one on the corner has swagger like us Hit me on my burner prepaid wireless We pack and deliver like UPS trucks Already going hell just pumping that gas  All I wanna do is And a And take your money  All I wanna do is And a And take your money  All I wanna do is And a And take your money  All I wanna do is And a And take your money  MIA Third world democracy Yeah I got more records than the KGB So uh no funny business Are you ready all  Some some some I some I murder Some I some I let go Some some some I some I murder Some I some I let go  All I wanna do is And a And take your money  All I wanna do is And a And take your money  All I wanna do is And a And take your money  All I wanna do is And a And take your money,35,Pop
Katy Perry,Hot N Cold,You change your mind like a girl changes clothes Yeah you PMS like a bitch I would know And you overthink always speak cryptically I should know that youre no good for me  Cause youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down  Youre wrong when its right Its black and its white We fight we break up We kiss we make up  You You dont really wanna stay no You But you dont really wanna go  Youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down  We used to be just like twins so in sync The same energy nows a dead battery Used to laugh bout nothing now youre plain boring I should know that youre not gonna change  Cause youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down  Youre wrong when its right Its black and its white We fight we break up We kiss we make up  You You dont really wanna stay no You But you dont really wanna go  Youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down  Someone call the doctor Got a case of a love bipolar Stuck on a roller coaster Cant get off this ride  You change your mind Like a girl changes clothes  Cause youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down Youre wrong when its right Its black and its white We fight we break up We kiss we make up  Youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down  Youre wrong when its right Its black and its white We fight we break up We kiss we make up  You You dont really wanna stay no You But you dont really wanna go  Youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down down,36,Pop
T.I.,Live Your Life,Youre gonna be a shining star with fancy clothes fancy carars And then youll see youre gonna go far Cause everyone knows just who you areare So live your life ay ay ay You steady chasing that paper Just live your life oh ay ay ay Aint got no time for no haters Just live your life oh ay ay ay No telling where itll take you Just live your life oh ay ay ay Cause Im a paper chaser Just living my life ay my life oh my life ay my life oh Just living my life ay my life oh my life ay my life oh  TI Never mind what haters say Ignore them til they fade away Amazing they ungrateful after all the game I gave away Safe to say I paved the way for you cats to get paid today You still be wasting days away nah had I never saved the day Consider them my protg homage I think they should pay Instead of being gracious they violate in a major way I never been a hater still I love them in a crazy way Some say they sold the yay and no they couldnt even work on Labor Day It aint that black and white it has an area thats shaded grey Im Westside anyway even if I left today and stayed away Some move away to make a way not move away cause they afraid I brought back to the hood and all you ever did was take away I pray for patience but they make me wanna melt their face away Like I once made them spray now I could make them plead their case away Been thuggin all my life cant say I dont deserve to take a break Youd rather see me catch a case and watch my future fade away Youre gonna be a shining star with fancy clothes fancy carars And then youll see youre gonna go far Cause everyone knows who you areare So live your life ay ay ay You steady chasing that paper Just live your life oh ay ay ay Aint got no time for no haters Just live your life oh ay ay ay No telling where itll take you Just live your life oh ay ay ay Cause Im a paper chaser Just living my life  TI Im the opposite of moderate Immaculately polished with the spirit of a hustler and the swagger of a college kid Allergic to the counterfeit impartial to the politics Articulate but still would grab a nigga by the collar quick Whoever having problems with their record sales just holla tip If that dont work and all else fails then turn around and follow tip I got love for the game but ay Im not in love with all of it Could do without the fame and the rappers nowadays are comedy The hootin and the hollerin back and forth with the arguing Where you from who you know what you make and what kind of car you in Seems as though you lost sight of whats important when depositin The cheques into your bank account and you up out of poverty Your values is a disarray prioritizing horribly Unhappy with the riches cause your piss poor morally Ignoring all prior advice and fore warning And we mighty full of ourselves all of a sudden arent we Youre gonna be a shining star with fancy clothes fancy carars And then youll see youre gonna go far Cause everyone knows who you areare So live your life ay ay ay You steady chasing that paper Just live your life oh ay ay ay Aint got no time for no haters Just live your life oh ay ay ay No telling where itll take you Just live your life oh ay ay ay Cause Im a paper chaser Just living my life ay my life oh my life ay my life oh Just living my life ay my life oh my life ay my life oh  Now everybody watchin what I do Come walk in my shoes And see the way Im livin if you really want to I got my mind on my money and I not goin away So keep on gettin your paper and keep on climbin Look in the mirror and keep on shinin Til the game ends til the clock stops We gonna post up on the top spot  So live your life,37,Rap
Estelle,"American Boy
",Just another one champion sound Yeah Estelle we bout to get down get down Who the hottest in the world right now Just touched down in London town Bet they give me a pound Tell them put the money in my hand right now Yes Tell the promoter we need more seats We just sold out all the floor seats Take me on a trip Id like to go some day Take me to New York Id love to see LA I really want to come kick it with you Youll be my American boy  He said Hey Sister Its really really nice to meet you I just met this 5 foot 7 guy whos just my type I like the way hes speaking his confidence is peaking Dont like his baggy jeans but Imma like whats underneath them And no I aint been to MIA I heard that Cali never rains and New Yorks heart awaits First lets see the west end Ill show you to my brethren Im liking this American boy American boy  Take me on a trip Id like to go some day Take me to New York Id love to see LA I really want to come kick it with you Youll be my American boy American boy  Can we get away this weekend Take me to Broadway Lets go shopping baby then well go to a caf Lets go on the subway Take me to your hood I never been to Brooklyn and Id like to see whats good Dress in all your fancy clothes Sneakers looking fresh to death Im loving those Shell Toes Walking that walk Talk that slick talk Im liking this American boy American boy  Take me on a trip Id like to go some day Take me to New York Id love to see LA I really want to come kick it with you Youll be my American boy  Tell em wagwan blud Who killing em in the UK Everybody gonna say You K Reluctantly cause most of this press dont fuck with me Estelle once said to me Cool down down dont act a fool now now I always act a fool oww oww Aint nothing new now now He crazy I know what ya thinking Ribena I know what youre drinking Rap singer Chain blinger Holla at the next chick soon as youre blinking Whats your persona About this Americana rhymer Am I shallow cause all my clothes designer Dressed smart like a London Bloke Before he speak his suit bespoke And you thought he was cute before Look at this peacoat tell me hes broke And I know you aint into all that I heard your lyrics I feel your spirit But I still talk that CASH Cause a lot wags wanna hear it And Im feeling like Mike at his Baddest Like The Pips at they Gladys And I know they love it So to hell with all that rubbish Would you be my love my love Could you be mine Would you be my love my love Could you be mine Could you be my love my love Would you be my American boy American boy  Take me on a trip Id like to go some day Take me to Chicago San Francisco Bay I really want to come kick it with you Youll be my American boy American boy Youll be my American boy Be my American boy American boy La la lala la lalala La la lala la lalala,39,R&B
Lil Wayne,Got Money,TPainLil Wayne I need a Winn Dixie grocery bag full of money right now to the VIP section You got Young Mula in the house tonight baby Young Young Mula baby Got money and you know it Take it out your pocket and show it Then throw it like This a way That a way This a way That a way Getting mugged from everybody you see Then hang over the wall of the VIP like This a way That a way This a way That a away We got us bouncing through the club She love the way I did it but I see her boyfriend hating like a city cop Now I aint never been a chicken but my fifty cocked Said I aint never been a chicken but my semi cocked Now where ya bar at Im trying run it out And we so bout it bout it now what are you bout DJ showed them love he said my name when the music stop Young money Lil Wayne then the music drop I make it snow I make it flurry I make it all back tomorrow dont worry Yeah Young Wayne on them hoes AKA Mr MakeItRainOnThemHoes Young money  TPainLil Wayne Got money and you know it Take it out your pocket and show it Then throw it like This a way That a way This a way That a way Getting mugged from everybody you see Then hang over the wall of the VIP like This a way That a way This a way That a away It go 1 for the money 2 for the show Now clap your hands if you got a bankroll Chris yeah like some clap on lights in this bitch Imma be clapping all night in this bitch Lights off mask on creep silent She smiling He mugging who cares Cause my goons are right here Like its nothing to a big dog And Im a Great Dane I wear 8 chains I mean so much ice they yell Skate Wayne She wanna fuck Weezy She wanna rape Wayne  TPainLil Wayne Got money and you know it Take it out your pocket and show it Then throw it like This a way That a way This a way That a way Getting mugged from everybody you see Then hang over the wall of the VIP like  OK its young Wayne on them hoes AKA Mr MakeItRainOnThemHoes Like yeah and everybody say it Mr Rainman can we have a rainy day Bring an umbrella please bring an umbrella Ella Ella Ella Eh Bitch aint shit but a hoe and a trick But you know it aint tricking if you got it You know we aint fucking if you not thick And Ill cool your ass down if you think you hot shit So Rolex watch this I do it four five six My clickclack goes the black four pip And just like it I blow that shit Cause bitch Im the bomb like TICK TICK Bitch  TPainLil Wayne Got money and you know it Take it out your pocket and show it Then throw it like This a way That a way This a way That a way Getting mugged from everybody you see Then hang over the wall of the VIP like This a way That a way This a way That a away  Yeah its Young Wayne on them hoes AKA Mr MakeItRainOnThemHoes Yeah young Wayne on them hoes Make a stripper fall in love TPain on them hoes  Um Young Mula baby,40,Rap
Taylor Swift,Our Song,I was riding shotgun With my hair undone In the front seat of his car Hes got a onehand feel On the steering wheel The other on my heart I look around turn the radio down He says Baby is something wrong I say Nothing I was just thinking How we dont have a song And he says Our song is the slamming screen door Sneakin out late tapping on your window When were on the phone and you talk real slow Cause its late and your mama dont know Our song is the way you laugh The first date Man I didnt kiss her when I should have And when I got home  fore I said Amen Asking God if he could play it again  I was walking up The front porch steps After everything that day Had gone all wrong And been trampled on And lost and thrown away Got to the hallway Well on my way To my lovin bed I almost didnt notice All the roses And the note that said Our song is the slamming screen door Sneakin out late tapping on your window When were on the phone and you talk real slow Cause its late and your mama dont know Our song is the way you laugh The first date Man I didnt kiss her when I should have And when I got home  fore I said Amen Asking God if he could play it again  Ive heard every album listened to the radio Waited for something to come along That was as good as our song Cause our song is the slamming screen door Sneakin out late tapping on his window When were on the phone and he talks real slow Cause its late and his mama dont know Our song is the way he laughs The first date Man I didnt kiss him when I should have And when I got home  fore I said Amen Asking God if he could play it again Play it again  Oh yeah Ohoh yeah  I was riding shotgun With my hair undone In the front seat of his car I grabbed a pen And an old napkin And I wrote down our song,41,Pop
Danity Kane,Damaged,Do do you got a firstaid kit handy Do do you know how to patch up a wound Tell me are are are are you Are you patient understanding Cause I might need some time To clear the hole in my heart And I Ive tried every remedy And nothing seems to work for me  Baby baby This situations driving me crazy crazy And I really wanna be your lady lady But the one before you left me so  Damaged damaged Damaged damaged I thought that I should let you know That my heart is damaged damaged So damaged so damaged And you can blame the one before  So how you gonna fix it fix it fix it Baby I gotta know what you are gonna do How you gonna fix it fix it fix it How you gonna fix it fix it fix it Baby I gotta know what you are gonna do How you gonna fix it fix it fix it  Do do you got a firstaid kit handy Do do you know how to patch up a wound Tell me are are are are you Are you patient understanding Cause I might need some time To clear the hole in my heart And I  You try to gain my trust Talking is not enough Actions speak louder than words You gotta show me something My heart is missing some pieces I need this puzzle put together again  Damaged damaged Damaged damaged I thought that I should let you know That my heart is damaged damaged So damaged so damaged And you can blame the one before  So how you gonna fix it fix it fix it Baby I gotta know what you are gonna do How you gonna fix it fix it fix it How you gonna fix it fix it fix it Baby I gotta know what you are gonna do How you gonna fix it fix it fix it  Can you fix my heart Cause its damaged Can you fix my heart Tell me are you up for the challenge Cause my heart is  Damaged damaged Is damaged damaged I thought that I should let you know That my heart is damaged damaged Dont you know my heart is damaged So damaged And you can blame the one before  Damaged damaged So damaged Damaged I thought that I should let you know I thought that I should let you know That my heart is damaged damaged So damaged so damaged And you can blame the one before  So how you gonna fix it fix it fix it How you gonna fix it fix it fix it How you gonna fix it fix it fix it How you gonna fix it fix it fix it  My heart is damaged damaged damaged My heart is damaged damaged damaged My heart is damaged damaged damaged My heart is damaged damaged damaged My heart is damaged,42,Pop
Lil Wayne,A Milli,Young Money Ya Dig Mack Im going in  A millionaire Im a young money millionaire Tougher than Nigerian hair My criteria compared to your career this isnt fair Im a venereal disease like a menstrual bleed Through the pencil and leak on the sheet of the tablet In my mind cause I dont write shit cause I aint got time Cause my seconds minutes hours go to the almighty dollar And the almighty power of that ch ch ch ch chopper Sister brother son daughter father mothafuck a coppa Got the Maserati dancin on the bridge pussy poppin Tell the coppers hahahaha you cant catch em you cant stop em I go by them goon rules if you cant beat em then you pop em You cant man em then you mop em You cant stand em then you drop em You pop em cause we pop em like Orville Redenbacher Motherfucker Im ill  A million here a million there Sicilian bitch with long hair With coke in the derrire Like smoke in the thinnest air I open the Lamborghini hopin them crackers see me Like look at that bastard weezy Hes a beast hes a dog hes a motherfucking problem OK youre a goon but whats a goon to a goblin Nothing nothing  you aint scarin nothing On some faggot bullshit call him Dennis Rodman Call me what you want bitch call me on my sidekick Never answer when its private damn I hate a shy bitch Dont you hate a shy bitch Yeah I ate a shy bitch She aint shy no more she changed her name to my bitch Hahahaha yeah nigga thats my bitch So when she ask for the money when you through dont be surprised bitch It aint trickin if you got it But you like a bitch with no ass you aint got shit Motherfucker Im ill not sick And Im OK but my watch sick yeah my drop sick yeah my Glock sick and my knot thick Im it Motherfucker Im ill  Yeah See They say Im rapping like Big Jay and Tupac Andre 3000 where is Erykah Badu at Who that Who that say theyre gonna beat Lil Wayne My name aint BIC but I keep that flame man Who that one that do that boy You knew that True that swallow And I be the shit now you got loose bowels I dont owe you like two vowels But I would like for you to pay me by the hour Ha ha and Id rather be pushing flowers Than to be in the pen sharing showers Ha Tony told us this world was ours And the Bible told us every girl was sour Dont play in her garden and dont smell her flower Call me Mr Carter or Mr Lawn Mower Boy I got so many bitches like Im Mike Lowry Even Gwen Stefani said she couldnt doubt me Motherfucker I say life aint shit without me Chrome lips poking out the coup look like its pouting I do what I do and you do what you can do about it bitch I could turn a crack rock into a mountain dare me Dont you compare me cause there aint nobody near me They dont see me but they hear me They dont feel me but they fear me Im illie C3 3 Peat Hahahaha,43,Rap
Buckcherry,Sorry,Oh I had a lot to say Was thinking all my time away I missed you and things werent the same  Cause everything inside It never comes out right And when I see you cry It makes me wanna die  Im sorry Im bad Im sorry youre blue Im sorry bout all the things I said to you And I know I cant take it back I love how you kiss I love all your sounds And baby the way you make my world go round And I just wanted to say Im sorry  This time I think Im to blame Its harder to get through the days You get older and blame turns to shame  Cause everything inside It never comes out right And when I see you cry It makes me wanna die  Im sorry Im bad Im sorry youre blue Im sorry bout all the things I said to you And I know I cant take it back I love how you kiss I love all your sounds And baby the way you make my world go round And I just wanted to say Im sorry  Every single day I think about how we came all this way The sleepless nights And the tears youve cried Its never too late to make it right Oh yeah sorry  Im sorry Im bad Im sorry youre blue Im sorry bout all the things I said to you And I know I cant take it back I love how you kiss I love all your sounds And baby the way you make my world go round And I just wanted to say Im sorry  Im sorry baby Im sorry baby Yeah Im sorry,44,Rock
