Artist,Song,Lyrics,Genre,Year,Rank
Rihanna,Don't Stop The Music,Please dont stop the music Please dont stop the music Please dont stop the music Please dont stop the music  Its getting late Im making my way over to my favourite place I gotta get my body moving Shake the stress away I wasnt looking for nobody when you looked my way Possible candidate yeah Who knew That youd be up in here looking like you do Youre making staying over here impossible Baby I must say your aura is incredible If you dont have to go dont  Do you know what you started I just came here to party But now were rocking on the dance floor actin naughty Your hands around my waist Just let the music play Were hand in hand chest to chest and now were face to face  I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the music I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the Please dont stop the music  Baby are you ready cause its getting close Dont you feel the passion ready to explode What goes on between us noone has to know This is a private show oh  Do you know what you started I just came here to party But now were rocking on the dance floor actin naughty Your hands around my waist Just let the music play Were hand in hand chest to chest and now were face to face  I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the music I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the Please dont stop the music  Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Please dont stop the music Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Please dont stop the music Please dont stop the music  I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the music I wanna take you away Lets escape into the music DJ let it play I just cant refuse it Like the way you do this Keep on rockin to it Please dont stop the please dont stop the Please dont stop the music  Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Please dont stop the music Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Please dont stop the music  Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Mama say mama say mama couse are Please dont stop the music,pop,2008,21
Jordin Sparks,Tattoo,Oh oh oh  No matter what you say about love I keep coming back for more Keep my hand in the fire Sooner or later Ill get what Im asking for  No matter what you say about life I learn every time I bleed That truth is a stranger Soul is in danger I gotta let my spirit be free  To admit that Im wrong And then change my mind Sorry but I have to move on And leave you behind I cant waste time so give it a moment I realize nothings broken No need to worry bout everything Ive done Live every second like it was my last one Dont look back got a new direction I loved you once needed protection Youre still a part of everything I do Youre on my heart just like a tattoo  Just like a tattoo Ill always have you Ill always have you Ill always have you  Im sick of playing all of these games Its not about taking sides When I looked in the mirror didnt deliver It hurt enough to think that I could  Stop admit that Im wrong And then change my mind Sorry but I gotta be strong And leave you behind I cant waste time so give it a moment I realize nothings broken No need to worry bout everything Ive done Live every second like it was my last one Dont look back got a new direction I loved you once needed protection Youre still a part of everything I do Youre on my heart just like a tattoo  Just like a tattoo Ill always have you Ill always have you  If I live every moment Wont change any moment Still a part of me in you I will never regret you Still the memory of you Marks everything I do  Chorus x2  Just like a tattoo Ill always have you,pop,2008,22
Ray J,Sexy Can I,Sexy can I Yeah Yeah All we wanna know is  Sexy can I just pardon my manners Girl how you shake it got a nigga like oh Its a Kodak moment let me go and get my camera All I wanna know is sexy can I Sexy can I hit it from the front then I hit it from the back know you like it like that then we take it to the bed then we take it to the floor then we chill for a second then were back at it for more Sexy can I just pardon my manners Girl how you shake it got a nigga like oh Its a Kodak moment let me go and get my camera All I wanna know is sexy can I  Whats up Lil mama its ya boy Youngin G5 dippin Lui Vuitton luggage ay Gotta love it ya boy so fly All the ladies go oh when a nigga go by Gucci on the feet Marc Jacob on the thigh She wanna ride or die with ya boy in the chi Thats right so I let her kiss the prince Her boyfriend she aint missed him since  Sexy can I just pardon my manners Girl how you shake it got a nigga like oh Its a Kodak moment let me go and get my camera All I wanna know is sexy can I Sexy can I keep it on the low Got a girl at the crib we can take it to the momo You can bring a friend or you can ride solo Let me get my camera so we can take a photo Ohohoh Now look shawty look shawty Baby when we make love its like Ohohoh I dont know what your man is like but shawty all I want to know is sexy can I  Sexy can I visit you at work  When you sliding down the pole no panties no shirt Then you climb back up the pole then you drop and do the splits How you make that pussy talk Baby damn you is the shit Ohohoh Now look shawty look shawty I make it rain in the club like Ohohoh I dont know what your man is like but baby all I want to know is Sexy can I  Sexy can I just pardon my manners Girl how you shake it got a nigga like oh Its a Kodak moment let me go and get my camera All I wanna know is sexy can I  I dont care whos ya boy hittin or who Rays melon When I give it to her I know that she aint tellin See Im a go get and she a go get You already know she Sexy can I Sexy can I send for you redeye Fresh out the pool no towel just let it air dry And if you aint fuckin tonight Man you can watch that tour bus go by  Chorus,pop,2008,23
Kardinal Offishall,Dangerous,Intro Akon Kardinal Offishall Never heard none like this before This remix is Dangerous This remix is Dangerous This remix is Bad girl Never heard none like this Its so Dangerous This remix is Dangerous This remix is Bad girl Refix the remix   Verse 1 Kardinal Offishall Dangerous Thats her song Hips like Beyonce looks like Solange Body like Serena fit like Venus Everyone I know Im tryin to give them the AY AY Bad like she bad with money like Oprah She wine to the reggae bubble to soca Cool like Taraji sweet like Nicole Scherzinger like Sharwhen she comin from the cold Tall like Keri and sing like Estelle Legs like Amerie and she dont tell When she kiss a down ass chick like Lil Kim She ready for the camera Kim Kardashian Curves like Melissa tough like Michelle OBAMA All day the queen like Mary J Good like Keyshia young like Ri Ri Sayin aint that Kardinal on the TV you see me Remix Kardinal Akon Sean Paul Take our ting right straight to di wall Dig it out tun it out now everybody shout one two  Chorus Akon That girl is so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Ive seen her type before Shes so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Yeahh  Verse 2 Akon See your the type of girl that make me wait Im the type of guy that make you relocate Participatin in no chase Got all type of girls Im gon be straight Honeys like you come a dime a dozen Real financially should be my cousin Hips sprung think I am when I wasnt And you wanna cling cling on me then be your husband A baby daddy a sugar daddy I dont give a damn either way Im a have it The way I be shootin that gun automatic Got chicks from every part of the world goin at it Like they dont ask it but its so classic How the club be gettin broken down in masses By the same chicks with these big ol asses Just droppin and shakin it fast Its so dangerous its so dangerous shes so dangerous  Chorus Akon Sean Paul Watch out Ive seen her type before That girl is so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Ive seen her type before Shes so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Yeahh SeanAPaul Akon Kardinal weh we tell dem  Verse 3 Sean Paul Kardinal Offishall Inna mi ride mi a di king wid di crown just cruisin along Hot girls dem deh pon di street Whole heap Gal a mash up man brain and a mash up man mind Dem a girls mek mi feel complete Some a park or step to di club all a tinkin a car dem a stand up and a pree This woman deh a eyes up di Dutty and a gwaan like she waan come gimme di heat All few a dem pack up and now mi waan it Har man just stand up and guardin on it Shes dangerous so dont tek fah granted Har appetite for sex she waan mi plant it Blatantly she waan fi flaunt it Showin mi how much she waan mi on it Waan mi con it she waan mi stamp it Wid di lethal weapon dat she waan mi slam it Mi wink and mi read fi palm it She wink back and she waan mi bomb it Excitement she waan mi carve it HOLD UP SEAN YO YO YO YO  Chorus Akon Watch out Ive seen her type before That girl is so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Ive seen her type before Shes so dangerous that girl is so DANGEROUS That girl is a BAD GIRL Yeahh  Verse 4 Twista How she full with adrenaline feelin all sowed up Fillin em filled with venom kill em like a cobra Thinkin Im in danger when I tell her come over Like a scary endeavor whenever I hold her Speakin in tongues just speedin my lyrical pace Look at the fanny now look at the body now take a look at the face Dangerous as Angelina Jolieand more than a man eater Manipulatin any man if she want him Cause a we be spectacular mackin in back in the truck in the Acura But she need to act up and let out the boys in us Havin a premonition then Im reminiscin About a girl with New Edition already says shes poisonous Like Paris Hilton Nicole or Lindsay Lo Madonna Naomi or Giselle the blanco OHHHH My life will never let a bomb chick abuse it Its Kardinal Twista Konvict music  Outro Kardinal Offishall Just gotta remember shes dangerous shes dangerous shes dangerous Cause shes a bad bad girl Shes dangerous shes dangerous shes dangerous Cause shes a bad bad girl,pop,2008,24
Leona Lewis,Better In Time,Its been the longest winter without you I didnt know where to turn to See somehow I cant forget you After all that weve been through  Going coming thought I heard a knock Whos there No one Thinking that I deserve it Now I realize that I really didnt know  If you didnt notice You mean everything Quickly Im learning to love again All I know is Imma be OK  Thought I couldnt live without you Its gonna hurt when it heals too Itll all get better in time And even though I really love you Im gonna smile cause I deserve to Itll all get better in time  I couldnt turn on the TV Without something there to remind me Was it all that easy To just put aside your feelings  If Im dreaming dont wanna laugh Hurt my feelings but thats the path I believe in And I know that time will heal it  If you didnt notice Boy you meant everything Quickly Im learning to love again All I know is Imma be OK  Thought I couldnt live without you Its gonna hurt when it heals too Itll all get better in time And even though I really love you Im gonna smile cause I deserve to Itll all get better in time  Since theres no more you and me no more you and me Its time I let you go so I can be free And live my life how it should be but I know but know No matter how hard it is Ill be fine without you Yes I will  Thought I couldnt live without you Its gonna hurt when it heals too Itll all get better in time And even though I really love you Im gonna smile cause I deserve to Yes I do Itll all get better in time  Thought I couldnt live without you Its gonna hurt when it heals too Itll all get better in time Even though I really love you Gonna smile cause I deserve to Itll all get better in time,pop,2008,25
Secondhand Serenade,Fall For You,The best thing about tonights that were not fighting Could it be that we have been this way before I know you dont think that I am trying I know youre wearing thin down to the core  But hold your breath Because tonight will be the night that I will fall for you Over again Dont make me change my mind Or I wont live to see another day I swear its true Because a girl like you is impossible to find Youre impossible to find  This is not what I intended I always swore to you Id never fall apart You always thought that I was stronger I may have failed But I have loved you from the start Oh  But hold your breath Because tonight will be the night that I will fall for you Over again Dont make me change my mind Or I wont live to see another day I swear its true Because a girl like you is impossible to find Its impossible  So breathe in so deep Breathe me in Im yours to keep And hold onto your words Cause talk is cheap And remember me tonight When youre asleep  Because tonight will be the night that I will fall for you Over again Dont make me change my mind Or I wont live to see another day I swear its true Because a girl like you is impossible to find Tonight will be the night that I will fall for you Over again Dont make me change my mind Or I wont live to see another day I swear its true Because a girl like you is impossible to find Youre impossible to find,pop,2008,26
Jordin Sparks,One Step At A Time,Hurry up and wait So close but so far away Everything that youve always dreamed of Close enough for you to taste But you just cant touch  You wanna show the world but no one knows your name yet Wonder when and where and how youre gonna make it You know you can if you get the chance In your face as the door keeps slamming Now youre feeling more and more frustrated And youre getting all kind of impatient waiting We live and we learn to take One step at a time Theres no need to rush Its like learning to fly Or falling in love Its gonna happen when its Supposed to happen and we Find the reasons why One step at a time  You believe and you doubt Youre confused you got it all figured out Everything that you always wished for Could be yours should be yours would be yours If they only knew  You wanna show the world but no one knows your name yet Wonder when and where and how youre gonna make it You know you can if you get the chance In your face as the door keeps slamming Now youre feeling more and more frustrated And youre getting all kind of impatient waiting  We live and we learn to take One step at a time Theres no need to rush Its like learning to fly Or falling in love Its gonna happen when its Supposed to happen and we Find the reasons why One step at a time  When you cant wait any longer But theres no end in sight when you need to find the strength Its your faith that makes you stronger The only way you get there Is one step at a time  One step at a time Theres no need to rush Its like learning to fly Or falling in love Its gonna happen when its Supposed to happen and we Find the reasons why One step at a time  One step at a time Theres no need to rush Its like learning to fly Or falling in love Its gonna happen when its Supposed to happen and we Find the reasons why One step at a time,pop,2008,27
P!nk,So What,Na na na na na na na na na na na na 2x  I guess I just lost my husband I dont know where he went So Im gonna drink my money Im not gonna pay his rent nope I got a brand new attitude and Im gonna wear it tonight I wanna get in trouble I wanna start a fight  Na na na na na na na I wanna start a fight Na na na na na na na I wanna start a fight  So so what Im still a rock star I got my rock moves And I dont need you And guess what Im having more fun And now that were done Im gonna show you tonight Im alright Im just fine And youre a tool So so what I am a rock star I got my rock moves And I dont want you tonight  Uh check my flow aw  The waiter just took my table And gave it to Jessica Simps shit I guess Ill go sit with drum boy At least hell know how to hit oops What if this songs on the radio Then somebodys gonna die Im gonna get in trouble My ex will start a fight  Na na na na na na na hes gonna start a fight Na na na na na na na were all gonna get in a fight  So so what Im still a rock star I got my rock moves And I dont need you And guess what Im having more fun And now that were done Im gonna show you tonight Im alright Im just fine And youre a tool So so what I am a rock star I got my rock moves And I dont want you tonight  You werent there You never were You want it all But thats not fair I gave you life I gave my all You werent there You let me fall  So so what Im still a rock star I got my rock moves And I dont need you And guess what Im having more fun And now that were done Im gonna show you tonight Im alright Im just fine And youre a tool So so what I am a rock star I got my rock moves And I dont want you tonight  No no no no I dont want you tonight You werent there Im gonna show you tonight Im alright Im just fine And youre a tool So so what I am a rock star I got my rock moves And I dont want you tonight  Ba da da da da da,pop,2008,28
Finger Eleven,Paralyzer,I hold on so nervously To me and my drink I wish it was cooling me But so far has not been good Its been shitty And I feel awkward as I should This club has got to be The most pretentious thing Since I thought you and me Well I am imagining A dark lit place Or your place or my place  Well Im not paralyzed But I seem to be struck by you I want to make you move Because youre standing still If your body matches What your eyes can do Youll probably move right through Me on my way to you  I hold out for one more drink Before I think Im looking too desperately But so far has not been fun I should just stay home If one thing really means one This club will hopefully Be closed in three weeks That would be cool with me Well Im still imagining A dark lit place Or your place or my place  Well Im not paralyzed But I seem to be struck by you I want to make you move Because youre standing still If your body matches What your eyes can do Youll probably move right through Me on my way to you  Well Im not paralyzed But I seem to be struck by you I want to make you move Because youre standing still If your body matches What your eyes can do Youll probably move right through Me on my way to you  Im not paralyzed But I seem to be struck by you I want to make you move Because youre standing still If your body matches What your eyes can do Youll probably move right through Me on my way to you  Youll probably move right through Me on my way to you  Youll probably move right through Me on my way to you,pop,2008,29
Chris Brown,Kiss Kiss,Talking TPain Yo This Is Nappy Boy Radio Live With Ya Boy TPain We Love Rap Music Listen Uh We Got A Caller On Line One Caller Whats Your Problem Hello Im On The Radio With TPain Hows It Going Yea It Aint Going Good My Girl Aint Doing Her Things She Used To Do And Oh I Got Just What You Need Brand New Chris Brown TPain You Heard It Hear First Nappy Boy Radio We Love You  Chorus x2 Hey She Want That Lovey Dovey Lovey Dovey That Kiss Kiss Kiss Kiss In Her Mind She Fantasize Bout Getting With Me They Hating On Me Hating On Me They Wanna Diss Diss Kiss Kiss Because She Mine And So Fine And Thick As Can Be Im A Country Boy From Tappahannock Aaooo VA Is Where I Reside So Shawty Understand It Aaooo And I Know I Just Turned 18 And I Get A Little Manish Aaooo And You See This Bandana Hanging That Means Im Like A Bandit LikeLike A BanditBandit Aawwww Ruff I Got Paper Girl Ruff The Lamborghini Ruff With The Spider Seats Ruff You Neva Seen It Aaooo So Get It Shawty We parking lot pimpin in my dome And I Know What You Want  Chorus x2 Im The Epitome Of This Demonstration I Got The Remedy You Feeling Me So Why Is You Hating At My Anatomy Its Bird Like Yeah You Heard Right Girl Im The King So That Means Im Fly Awwwwwwwwwwwww ruff If You With It Girl ruff Get It Poppin ruff Roll With Me ruff Aint No Stopping ooooooooo So Get It Shawty We Parking Lot Pimping In My Dome yeah I Know Want You Want  Chorus x2  Verse 3 TPain Shawty Let Me Holla At You You So HotHotHotHot You Think Id Be Holling If You NotNotNotNot Im King Of The Town You Can Take A Look Around Teddy Penderazzdown Is In The SpotSpotSpotSpot Yeah I Got Money On Me Yeah Got a kid no problem Yeah You rollin shawty Yeah Lets hit mcdonalds Its TP And CB Im The Nappy BoyOoh Weee  Chorus x2  TPain Chris Brown Yeaaaaaaah  Talking TPain We are live back on Nappy Boy Radio This is your boy Dj Tpain yeaaaaaah I gotta get outta here man I just wanna leave told ya it was gonna look like this But if u aint got it by now then u jus aint gettin it  Talking Chris Brown Lets go Nappy Boy ey and Pretty Boy ey x2 Nappy boy and pretty boy Nappynappy nappy and pretty boy,pop,2008,30
Sean Kingston,Take You There,YO WAT A GWAAN HO SEAN KINGSTON JR  We can go to the tropics Sip pina coladas Shorty I could take you there Or we can go to the slums Where killers get hung Shorty I could take you there You know I could take you I could take you I could take you I could take you Shorty I could take you there You know I could take you I could take you I could take you I could take you Shorty I could take you there  Baby girl I know its rough but come with me We can take a trip to the hood Its no problem girl its my city I could take you there Little kid with guns only 15 Roam in the streets up to no good When gun shots just watch us run quickly I could show you where  As long as youre with me Baby youll be alright Im known in the ghetto Girl just stay by my side Or we can leave the slums go to paradise Baby its up to you Its whatever you like  Chorus  Shorty come with me its no worry I know the bad men them where they ah stay Police fly pursuit in a hurry This is no gun play Dont be scared in a deh West Indies Its Jamaica thats where Im from Might see something that youre not used to Welcome to the slums  As long as youre with me Baby youll be alright Im known in the ghetto Girl just stay by my side Or we can leave the slums go to paradise Baby its up to you Its whatever you like  Chorus  Oh we oh we Can go can go To a place to a place I know youre gonna like oh oh oh The beach the beach The breeze the breeze West Indies I call it paradise  Chorus,pop,2008,31
Danity Kane,Damaged,Do do you got a firstaid kit handy Do do you know how to patch up a wound Tell me are are are are you Are you patient understanding Cause I might need some time To clear the hole in my heart And I Ive tried every remedy And nothing seems to work for me  Baby baby This situations driving me crazy crazy And I really wanna be your lady lady But the one before you left me so  Damaged damaged Damaged damaged I thought that I should let you know That my heart is damaged damaged So damaged so damaged And you can blame the one before  So how you gonna fix it fix it fix it Baby I gotta know what you are gonna do How you gonna fix it fix it fix it How you gonna fix it fix it fix it Baby I gotta know what you are gonna do How you gonna fix it fix it fix it  Do do you got a firstaid kit handy Do do you know how to patch up a wound Tell me are are are are you Are you patient understanding Cause I might need some time To clear the hole in my heart And I  You try to gain my trust Talking is not enough Actions speak louder than words You gotta show me something My heart is missing some pieces I need this puzzle put together again  Damaged damaged Damaged damaged I thought that I should let you know That my heart is damaged damaged So damaged so damaged And you can blame the one before  So how you gonna fix it fix it fix it Baby I gotta know what you are gonna do How you gonna fix it fix it fix it How you gonna fix it fix it fix it Baby I gotta know what you are gonna do How you gonna fix it fix it fix it  Can you fix my heart Cause its damaged Can you fix my heart Tell me are you up for the challenge Cause my heart is  Damaged damaged Is damaged damaged I thought that I should let you know That my heart is damaged damaged Dont you know my heart is damaged So damaged And you can blame the one before  Damaged damaged So damaged Damaged I thought that I should let you know I thought that I should let you know That my heart is damaged damaged So damaged so damaged And you can blame the one before  So how you gonna fix it fix it fix it How you gonna fix it fix it fix it How you gonna fix it fix it fix it How you gonna fix it fix it fix it  My heart is damaged damaged damaged My heart is damaged damaged damaged My heart is damaged damaged damaged My heart is damaged damaged damaged My heart is damaged,pop,2008,32
Lil Wayne,Lollipop,Lil Wayne  Intro UhhuhNo homo Young Mula baby I say he so sweet make her wanna lick the rapper Remix baby  Kanye West Lollipop lollipop Breasts is just like Dolly Parton She ride my spaceship til she hit the top That hit the spot til she ask How many liiliilicks do it take til she get to shop Dont worry why my wrist got so freeze Tell her Girl like Doritos thats nacho cheese Tell her friends Like Fritos Im tryin to Lay I caint only have one and I aint tryin to wait This a song with Wayne say you know its gon melt Butchu aint finna murder me like everybody else Ima rap like I got some type of respect for myself I dont do it for my health man I do it for the belt Man I do it to the death til the roof get melt Hunnid degrees drop the roof so the Coupe dont melt Man the flow so cold chicken soup wont help We need fo mo hoes we need ohhohhOHOHHH You know what it is when were outta town We ball in two seats and you out of booooounds So come here baby guuurrrrl You now fuckin wit the best in the woooooooooooooooooorld Lollipoppop The best in the woooooooOOOOOOOOOOOOORLD Shshshe lick me like a lollipop Sheshe lick me like a lollipop Woooorldwoooorld  Chorus 2X Static Major Shawty want a thug thug thug Bottles in the club club club Shawty wanna hump you know I like to touch Your lovely lady lumps lumps lumps  Lil Wayne Shawty say she wanna lick the rapper And she gonna lick the rapper And I just wanna act like a pornoflicking actor I Anita Bake her now she caught up in that Rapture I got so much chips I swear they call me Hewlett Packard I got so much chips you can have a bag if youre a snacker Greedy muthafudge cakes now tell me how dat fudge taste I do it for Bloods sake suuwoo think its voodoo How that roof do dididissipate your girl wants to participate She sososophisticate cause her brain is off the chain And then my diamonds are in the choir because they sang from off my chain And my Nina just joined the gang because all she do is bang Like Ricky Martin Wayne and Kanye  pick your poison If that woman wanna cut then tell her I am Mr Ointment Tell her to make an appointment with Mr Icantmakeanappointment Take my lollipop and enjoy it  remix  Chorus 2X w adlibs  Lil Wayne Why would she She probably be the odd cookie In the plastic bag bout to get crushed by a building I flushed out the feeling of me bein the shit cause I was leavin skid marks on evrywhere I sit I am everywhere Im it like HidenGo And I can go anywhere innie minnie miney mo Im in yo neighborhood area CD thang tape deck IPod ya gurlfriend and she say I got great sex Safe sex is great sex better wear a latex cause you dont want that late text that I think Im late text Hehheh so wrap it up Bububut hes so sweet shshe wanna lick the rapper  Chorus  REREREREMIX BABAY  Static Major  Outro Lick me like a lollipoplollipop Sheshe lick me like a lollipoplollipop Shshshe lick me like a lollipoplollipop Sheshe lick me like a lollipoplollipop echoes,pop,2008,33
Rihanna,Hate That I Love You,Thats how much I love you Thats how much I need you And I cant stand you Must everything you do make me wanna smile Can I not like you for awhile No But you wont let me You upset me girl And then you kiss my lips All of a sudden I forget That I was upset Cant remember what you did But I hate it You know exactly what to do So that I cant stay mad at you For too long Thats wrong But I hate it You know exactly how to touch So that I dont want to fuss And fight no more Said I despise that I adore you And I hate how much I love you boy I cant stand how much I need you I need you And I hate how much I love you boy But I just cant let you go And I hate that I love you so And you completely know the power that you have The only one that makes me laugh Said its not fair How you take advantage of the fact That I Love you beyond the reason why And it just aint right And I hate how much I love you girl I cant stand how much I need you And I hate how much I love you girl But I just cant let you go But I hate that I love you so One of these days maybe your magic wont affect me And your kiss wont make me weak But no one in this world knows me the way you know me So youll probably always have a spell on me Thats how much I love you How much I need you Thats how much I need you How much I love you Thats how much I love you How I need you Thats how much I need you I need you And I hate that I love you so And I hate how much I love you boy I cant stand how much I need you cant stand how much I need you And I hate how much I love you boy But I just cant let you go but I just cant let you go no And I hate that I love you so  And I hate that I love you so so,pop,2008,34
Taylor Swift,Teardrops On My Guitar,Drew looks at me I fake a smile so he wont see That I want and Im needing Everything that we should be  Ill bet shes beautiful that girl he talks about And shes got everything that I have to live without  Drew talks to me I laugh cause its just so funny That I cant even see Anyone when hes with me  He says hes so in love hes finally got it right I wonder if he knows hes all I think about at night  Hes the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star Hes the song in the car I keep singing Dont know why I do  Drew walks by me Can he tell that I cant breathe And there he goes so perfectly The kind of flawless I wish I could be  She better hold him tight give him all her love Look in those beautiful eyes and know shes lucky cause  Hes the reason for the teardrops on my guitar The only thing that keeps me wishing on a wishing star Hes the song in the car I keep singing Dont know why I do  So I drive home alone As I turn out the light Ill put his picture down And maybe get some sleep tonight  Cause hes the reason for the teardrops on my guitar The only one whos got enough of me to break my heart Hes the song in the car I keep singing Dont know why I do  Hes the time taken up but theres never enough And hes all that I need to fall into  Drew looks at me I fake a smile so he wont see,pop,2008,35
Kid Rock,All Summer Long,It was 1989 My thoughts were short my hair was long Caught somewhere between a boy and man She was seventeen And she was far from inbetween It was summertime in Northern Michigan  Splashing through the sand bar Talking by the campfire Its the simple things in life like when and where We didnt have no Internet But man I never will forget The way the moonlight shined upon her hair  And we were trying different things We were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle Not thinking bout tomorrow Singing Sweet home Alabama all summer long  Singing Sweet home Alabama all summer long  Catching Walleye from the dock Watching the waves roll off the rocks Shell forever hold a spot inside my soul Wed blister in the sun We couldnt wait for night to come To hit that sand and play some rock and roll  While we were trying different things And we were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle Not thinking bout tomorrow Singing Sweet Home Alabama all summer long  Singing Sweet Home Alabama all summer long  Sweet Home Alabama Turn it up  Now nothing seems as strange As when the leaves began to change Or how we thought those days would never end Sometimes I hear that song And I start to sing along And think man Id love to see that girl again  Man Id like to see that girl again  And we were trying different things And we were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle Not thinking bout tomorrow Singing Sweet Home Alabama all summer long  We were trying different things And we were smoking funny things Making love out by the lake to our favorite song Sipping whiskey out the bottle Not thinking bout tomorrow Singing Sweet Home Alabama all summer long  Singing Sweet Home Alabama all summer long Singing Sweet Home Alabama all summer long Singing Sweet Home Alabama all summer long Singing Sweet Home Alabama all summer long  Singing Home Sweet Home Alabama all summer long Singing all summer long,pop,2008,36
Colbie Caillat,Bubbly,Will you count me in  Ive been awake for a while now Youve got me feelin like a child now Cause every time I see your bubbly face I get the tingles in a silly place  It starts in my toes And I crinkle my nose Wherever it goes I always know That you make me smile Please stay for a while now Just take your time Wherever you go  The rain is falling on my window pane But we are hiding in a safer place Under covers staying dry and warm Another version of the song says Under covers staying safe and warm You give me feelings that I adore  They start in my toes Make me crinkle my nose Wherever it goes I always know That you make me smile Please stay for a while now just take your time Wherever you go  But what am I gonna say When you make me feel this way I just mmmmm  And it starts in my toes Makes me crinkle my nose Wherever it goes I always know That you make me smile Please stay for a while Now just take your time Wherever you go  Dada dumdudum dumdadadadadum Ohbodododododododum mmm mmm  Ive been asleep for a while now You tuck me in just like a child now Cause every time you hold me in your arms Im comfortable enough to feel your warmth  It starts in my soul And I lose all control When you kiss my nose The feeling shows Cause you make me smile Baby just take your time Now holdin me tight  Wherever wherever wherever you go Wherever wherever wherever you go  Wherever you go I always know Cause you make me smile Even just for a while,pop,2008,37
Madonna,4 Minutes,Im outta time and all I got is 4 minutes Fricki fricki 4 minutes eh  Come on Breakdown Come on Come on Madonna Come on boy Ive been waiting for somebody to pick up my stroll Well dont waste time Give me a sign Tell me how you wanna roll I want somebody to speed it up for me then take it down slow Theres enough room for both Well I can handle that You just gotta show me where this at Are you ready to go Are you ready to go Come on If you want it Youve already got it If you thought it It better be what you want  If you feel it It must be real Just say the word And Imma give you what you want Time is waiting We only got four minutes to save the world No hesitating Grab a boy Go grab a girl Time is waiting We only got four minutes to save the world No hesitating We only got four minutes huh four minutes  So keep it up keep it up Dont be a priheyma donna You gotta get in line hop Tick tock tick tock tick tock Thats right Keep it up keep it up Dont be a priheyma donna You gotta get in line hop Tick tock tick tock tick tock  Sometimes I think what I need is a you intervention And I know I can tell that you like it And that its good by the way that you move The road to hell is paved with good intentions But if I die tonight at least I can say I did what I wanted to do Tell me how bout you If you want it Youve already got it If you thought it It better be what you want  If you feel it It must be real Just say the word And Imma give you what you want Time is waiting We only got four minutes to save the world No hesitating Grab a boy Go grab a girl Time is waiting We only got four minutes to save the world No hesitating We only got four minutes huh four minutes  So keep it up keep it up Dont be a priheyma donna You gotta get in line hop Tick tock tick tock tick tock Thats right Keep it up keep it up Dont be a priheyma donna You gotta get in line hop Tick tock tick tock tick tock Breakdown Tick tock tick tock tick tock Tick tock tick tock tick tock Ive only got four minutes to save the world,pop,2008,38
Katy Perry,Hot N Cold,You change your mind like a girl changes clothes Yeah you PMS like a bitch I would know And you overthink always speak cryptically I should know that youre no good for me  Cause youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down  Youre wrong when its right Its black and its white We fight we break up We kiss we make up  You You dont really wanna stay no You But you dont really wanna go  Youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down  We used to be just like twins so in sync The same energy nows a dead battery Used to laugh bout nothing now youre plain boring I should know that youre not gonna change  Cause youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down  Youre wrong when its right Its black and its white We fight we break up We kiss we make up  You You dont really wanna stay no You But you dont really wanna go  Youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down  Someone call the doctor Got a case of a love bipolar Stuck on a roller coaster Cant get off this ride  You change your mind Like a girl changes clothes  Cause youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down Youre wrong when its right Its black and its white We fight we break up We kiss we make up  Youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down  Youre wrong when its right Its black and its white We fight we break up We kiss we make up  You You dont really wanna stay no You But you dont really wanna go  Youre hot then youre cold Youre Yes then youre No Youre in then youre out Youre up then youre down down,pop,2008,39
