Artist,Song,Lyrics,Genre,Year,Rank
Rihanna,Disturbia,Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum  Whats wrong with me Why do I feel like this Im going crazy now  No more gas in the rig Cant even get it started Nothing heard nothing said Cant even speak about it Out my life out my head Dont wanna think about it Feels like Im going insane Yeah  Its a thief in the night To come and grab you It can creep up inside you And consume you A disease of the mind It can control you Its too close for comfort  Throw on your brake lights Were in the city of wonder Aint gonna play nice Watch out you might just go under Better think twice Your train of thought will be altered So if you must falter be wise  Your mind is in disturbia Its like the darkness is the light Disturbia Am I scaring you tonight Disturbia Aint used to what you like Disturbia Disturbia  Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum  Faded pictures on the wall Its like they talkin to me Disconnecting all the calls Your phone dont even ring I gotta get out Or figure this shit out Its too close for comfort oh  Its a thief in the night To come and grab you It can creep up inside you And consume you A disease of the mind It can control you I feel like a monster  Throw on your brake lights Were in the city of wonder City of lights Aint gonna play nice oh Watch out you might just go under Better think twice think twice Your train of thought will be altered So if you must falter be wise be wise  Your mind is in disturbia Its like the darkness is the light Disturbia Am I scaring you tonight Disturbia Aint used to what you like what you like Disturbia Disturbia  Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum  Release me from this curse Im in Trying to maintain But Im struggling If you cant go go go I think Im gonna oh oh oh  Throw on your brake lights Were in the city of wonder Aint gonna play nice Watch out you might just go under Better think twice better think twice Your train of thought will be altered So if you must falter be wise if you must falter be wise  Your mind is in disturbia Its like the darkness is the light Disturbia Am I scaring you tonight Disturbia Aint used to what you like disturbia Disturbia Disturbia  Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum Bum bum bedum bum bum bedum bum,pop,2008,11
Fergie,Clumsy,Girl You know you been on ma mind yeah Its like I cant stop thinking about you Whenever Im around you I get clumsy thats right But what about now REMIX  Fergie Ferg Soulja Boy Collipark Yeah Yeah Yeah Lets go  Verse 1 Fergie First time That I saw your eyes Boy you looked right through me mmmhmm Play it cool But I knew you knew That cupid hit me mmm mmm You got me tripping stumbling flipping fumbling Clumsy cause Im falling in love You got me slipping tumbling sinking fumbling Clumsy cause Im falling in love So in love with you  Oh Babe Oh Babe Oh Babe Cant breath When you touch my sleeve Butterflies so crazy mmm mmm Whoa now think Im going down Friends dont know whats with me mmm mmm You got me tripping stumbling flipping fumbling Clumsy cause Im falling in love You got me slipping tumbling sinking fumbling Clumsy cause Im falling in love So in love with you King of the south keep it supa fresh Still iced out girls be screaming Hatas wanna do me Im in da chevy the same color as dookie Still be da same man still got game plan Soulja boy tellem yall still know the name man Its like Youll Youll Im up in dis ooooooo Dis a b money game we up in dis ooooooooooohhhh Im a trend setta stunna shade like woah Rubbabands on ma neck got dem lookin like gold I got it on lock erbody should know Im crankin ma field with da brand knew clothes Girls be lookin like da da da da daaaa da But we still on da phine like da da da da daaaa da You got me tripping stumbling flipping fumbling Clumsy cause Im falling in love You got me slipping tumbling sinking fumbling Clumsy cause Im falling in love So in love with you,pop,2008,12
Usher,Love In This Club,I gotta do it for the ladies And I gotta keep it hood Where we at Polo I see you Ryan You Keith you was right We just getting it started Yeah man  You say youre searching for somebody that will take you out and do you right Well come here baby and let daddy show you what it feels like You know all you gotta do is tell me what youre sipping on And I promise that Im gonna keep it coming all night long  Looking in your eyes While youre on the other side And I think that shorty I gotta thing for you Youre doing it on purpose wind it and work it I can tell by the way that youre looking at me girl  I wanna make love in this club In this club In this club In this club I wanna make love in this club In this club In this club In this club  Listen if you got some friends rolling with you than baby thats cool You can leave them with my niggas let them know that I got you If you didnt know youre the only thing thats on my mind cause the way Im staring at you got me wanting to give it to you all night  Looking in your eyes While youre on the other side I cant take it no more baby Im coming for you Youre doing it on purpose wind it and work it If we close our eyes it could just be me and you  Chorus x2  Young Jeezy Im what you want Im what you need He got to trap Ill set you free Sexually mentally physically emotionally Ill be like your medicine youll take every dose of me Its going down on isle 3 Ill bag you like some groceries And every time you think about it youre gonna want some more of me About to hit the club make a movie yeah rated R Pull up like a Trap Star Thats if you had Have you ever made love to a thug in the club with his sights on 87 jeans and a fresh pair of Nikes on On the couch on the table on the bar on the floor You can meet me in the bathroom you know Im trained to go  Might as well give me a kiss if we keep touching like this I know youre scared baby they dont know what were doing Lets both get undressed right here keep it up girl and I swear Im gonna give it to you nonstop And I dont care whos watching  Chorus till fade,pop,2008,13
Ne-Yo,Closer,Closer x4  Woo  Turn the lights off in this place And she shines just like a star And I swear I know her face I just dont know who you are  Turn the music up in here I still hear her loud and clear Like shes right there in my ear Telling me that she wants to  Own me To control me Come closer come closer Come closer  And I just cant pull myself away Under a spell I cant break I just cant stop I just cant stop I just cant stop I just cant stop  And I just cant free myself no way But I dont want to escape I just cant stop I just cant stop I just cant stop I just cant stop  I just cant stop  I can feel her on my skin I can taste her on my tongue Shes the sweetest taste of sin The more I get the more I want  She wants to own me Come closer closer She says Come closer  Hey  And I just cant pull myself away Under a spell I cant break I just cant stop I just cant stop I just cant stop I just cant stop  And I just cant free myself no way But I dont want to escape I just cant stop I just cant stop I just cant stop I just cant stop  I just cant stop  Come closer closer x3 Come closer  Ooo I just cant stop noo I just cant stop noo Just cant stop it no no I just cant stop noo Just cant stop it no no no I just cant stop noo No no  And I just cant pull myself away Under a spell I cant break I just cant stop I just cant stop I just cant stop I just cant stop  And I just cant free myself no way But I dont want to escape I just cant stop I just cant stop I just cant stop I just cant stop  I just cant stop  And I just cant pull myself away Under a spell I cant break I just cant stop I just cant stop I just cant stop I just cant stop  I just cant stop  Come closer,pop,2008,14
Miley Cyrus, See You Again,I got my sight set on you and Im ready to aim I have a heart that will never be tamed I knew you were something special when you spoke my name Now I cant wait to see you again  Ive got a way of knowing when something is right I feel like I must have known you in another life Cause I felt this deep connection when you looked in my eyes Now I cant wait to see you again  The last time I freaked out I just kept looking down I stuttered when you asked me what Im thinking about Felt like I couldnt breathe You asked whats wrong with me My best friend Leslie said Oh shes just being Miley The next time we hang out I will redeem myself My heart it cant rest til then I I cant wait to see you again  I got this crazy feeling deep inside When you called and asked to see me tomorrow night Im not a mind reader but Im reading the signs That you cant wait to see me again  The last time I freaked out I just kept looking down I stuttered when you asked me what Im thinking about Felt like I couldnt breathe You asked whats wrong with me My best friend Leslie said Oh shes just being Miley The next time we hang out I will redeem myself My heart it cant rest til then I I cant wait to see you again  I got my sight set on you and Im ready to aim  The last time I freaked out I just kept looking down I stuttered when you asked me what Im thinking about Felt like I couldnt breathe You asked whats wrong with me My best friend Leslie said Oh shes just being Miley The next time we hang out I will redeem myself My heart it cant rest til then I I cant wait to see you again  I I cant wait to see you again,pop,2008,15
Katy Perry,I Kissed A Girl,This was never the way I planned not my intention I got so brave drink in hand lost my discretion Its not what Im used to just wanna try you on Im curious for you caught my attention  I kissed a girl and I liked it the taste of her cherry chapstick I kissed a girl just to try it I hope my boyfriend dont mind it It felt so wrong it felt so right Dont mean Im in love tonight I kissed a girl and I liked it I liked it  No I dont even know your name it doesnt matter Youre my experimental game just human nature Its not what good girls do not how they should behave My head gets so confused hard to obey  Chorus  Us girls we are so magical Soft skin red lips so kissable Hard to resist so touchable Too good to deny it Aint no big deal its innocent  Chorus,pop,2008,16
Natasha Bedingfield,Pocketful Of Sunshine,I got a pocket Got a pocketful of sunshine Ive got a love and I know that its all mine Oh oh oh Do what you want But youre never gonna break me Sticks and stones are never gonna shake me Oh oh oh  Take me away take me away A secret place a secret place A sweet escape a sweet escape Take me away take me away Take me away take me away To better days to better days Take me away take me away A hiding place a hiding place  I got a pocket Got a pocketful of sunshine Ive got a love and I know that its all mine Oh oh oh Do what you want But youre never gonna break me Sticks and stones are never gonna shake me Oh oh oh  I got pocket Got a pocketful of sunshine Ive got a love and I know that its all mine Oh oh oh  Wish that you could But you aint gonna own me Do anything you can to control me Oh oh oh  Take me away take me away A secret place a secret place A sweet escape a sweet escape Take me away take me away Take me away take me away To better days to better days Take me away take me away A hiding place a hiding place  Theres a place that I go That nobody knows Where the rivers flow And I call it home And theres no more lies And the darkness is light And nobody cries Theres only butterflies  Take me away take me away A secret place a secret place A sweet escape a sweet escape Take me away take me away Take me away take me away To better days to better days Take me away take me away A hiding place a hiding place 3x  I got a pocket Got a pocketful of sunshine Ive got a love and I know that its all mine Oh oh oh 2x  The sun is on my side Take me for a ride I smile up to the sky I know Ill be alright 2x,pop,2008,17
Metro Station,Shake It,Lets drop Yeah come on Shake shake  Ill take you home If you dont leave me at the front door Leave me at the front door Your bodys cold But girl were getting so warm And I was thinking of ways that I could get inside Get inside  Tonight youre falling in love Let me go now This feelings tearing me up Here we go now  Now if she does it like this Will you do it like that Now if she touches like this Will you touch her right back Now if she moves like this Will you move it like that Come on Shake shake shake shake shake it Shake shake shake shake shake it Shake shake shake shake shake it Shake shake shake shake shake it Shake shake shake shake shake it  Your lips tremble But your eyes are in a straight stare In a straight stare Were on the bed But your clothes are laying right there And I was thinking of places that I could hide I could hide  Prechorus  Chorus  I saw you dancing there I couldnt get you off my mind But I could tell that you could tell That I was taking my time  But I was thinking of ways To get you staying the night Your bodys shaking Turn me on so I can turn off the lights  Chorus  Shake shake shake shake shake it Shake shake shake shake shake it Shake shake shake shake shake it Shake shake shake shake shake it,pop,2008,18
OneRepublic,Stop And Stare,This town is colder now I think its sick of us Its time to make our move Im shaking off the rust Ive got my heart set on anywhere but here Im staring down myself counting up the years  Steady hands just take the wheel And every glance is killing me Time to make one last appeal For the life I lead  Stop and stare I think Im moving but I go nowhere Yeah I know that everyone gets scared But Ive become what I cant be oh Stop and stare You start to wonder why youre here not there And youd give anything to get whats fair But fair aint what you really need Oh can you see what I see  Theyre trying to come back all my senses push Untie the weight bags I never thought I could  Steady feet dont fail me now Imma run til you cant walk Something pulls my focus out And Im standing down  Stop and stare I think Im moving but I go nowhere Yeah I know that everyone gets scared But Ive become what I cant be oh Stop and stare You start to wonder why youre here not there And youd give anything to get whats fair But fair aint what you really need Oh you dont need  What you need what you need  Stop and stare I think Im moving but I go nowhere Yeah I know that everyone gets scared But Ive become what I cant be Oh do you see what I see,pop,2008,19
Buckcherry, Sorry,Oh I had a lot to say Was thinking all my time away I missed you and things werent the same  Cause everything inside It never comes out right And when I see you cry It makes me wanna die  Im sorry Im bad Im sorry youre blue Im sorry bout all the things I said to you And I know I cant take it back I love how you kiss I love all your sounds And baby the way you make my world go round And I just wanted to say Im sorry  This time I think Im to blame Its harder to get through the days You get older and blame turns to shame  Cause everything inside It never comes out right And when I see you cry It makes me wanna die  Im sorry Im bad Im sorry youre blue Im sorry bout all the things I said to you And I know I cant take it back I love how you kiss I love all your sounds And baby the way you make my world go round And I just wanted to say Im sorry  Every single day I think about how we came all this way The sleepless nights And the tears youve cried Its never too late to make it right Oh yeah sorry  Im sorry Im bad Im sorry youre blue Im sorry bout all the things I said to you And I know I cant take it back I love how you kiss I love all your sounds And baby the way you make my world go round And I just wanted to say Im sorry  Im sorry baby Im sorry baby Yeah Im sorry,pop,2008,20
